#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05200	Pathways in cancer	126	515	0.77	3.44e-50	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000225512,9606.ENSP00000226574,9606.ENSP00000227163,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000229135,9606.ENSP00000233146,9606.ENSP00000241453,9606.ENSP00000249373,9606.ENSP00000254958,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000257290,9606.ENSP00000258341,9606.ENSP00000261254,9606.ENSP00000261349,9606.ENSP00000261769,9606.ENSP00000262345,9606.ENSP00000262643,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264634,9606.ENSP00000264657,9606.ENSP00000265165,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000287820,9606.ENSP00000288135,9606.ENSP00000293549,9606.ENSP00000294016,9606.ENSP00000296585,9606.ENSP00000299767,9606.ENSP00000300305,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000304915,9606.ENSP00000306245,9606.ENSP00000306512,9606.ENSP00000308541,9606.ENSP00000311032,9606.ENSP00000311405,9606.ENSP00000312999,9606.ENSP00000317272,9606.ENSP00000317985,9606.ENSP00000322788,9606.ENSP00000327251,9606.ENSP00000330382,9606.ENSP00000331902,9606.ENSP00000332973,9606.ENSP00000335153,9606.ENSP00000339824,9606.ENSP00000340347,9606.ENSP00000341551,9606.ENSP00000345571,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000351490,9606.ENSP00000351905,9606.ENSP00000353654,9606.ENSP00000354394,9606.ENSP00000354558,9606.ENSP00000355249,9606.ENSP00000355718,9606.ENSP00000356438,9606.ENSP00000358327,9606.ENSP00000358548,9606.ENSP00000358851,9606.ENSP00000359424,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000361066,9606.ENSP00000361423,9606.ENSP00000361892,9606.ENSP00000362082,9606.ENSP00000362649,9606.ENSP00000363591,9606.ENSP00000363822,9606.ENSP00000364163,9606.ENSP00000364979,9606.ENSP00000365230,9606.ENSP00000368880,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000376943,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000391803,9606.ENSP00000393312,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000404503,9606.ENSP00000405330,9606.ENSP00000408695,9606.ENSP00000418915,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000432511,9606.ENSP00000433623,9606.ENSP00000447297,9606.ENSP00000448165,9606.ENSP00000469686,9606.ENSP00000478887,9606.ENSP00000481380,9606.ENSP00000493985,9606.ENSP00000495360,9606.ENSP00000495951,9606.ENSP00000497069,9606.ENSP00000498577,9606.ENSP00000498587,9606.ENSP00000499900	HMOX1,TGFB1,WNT3,NFKB1,SPI1,CCND1,CDKN1B,IFNG,MSH2,FLT3,SMO,JAG1,KRAS,NOTCH2,PDGFRA,LAMC1,CCND2,LRP6,CDH1,IL12RB2,CCNE1,E2F3,MAPK3,FGF2,WNT5A,STAT3,LEF1,CDK6,RB1,FGF7,TP53,ERBB2,EGFR,WNT3A,WNT7A,FZD7,PPARG,KIT,WNT1,ADCY9,ITGA2,HSP90B1,RUNX1,FADD,MAP2K1,AXIN2,IL13,FOS,CXCL8,F2,CASP3,ADCY6,GNAI2,MET,ROCK2,MMP1,NOS2,PDGFB,COL4A5,SMAD3,HSP90AA1,FGFR3,TCF7,SMAD4,E2F1,PDGFA,FN1,MAX,TGFBR2,COL4A2,STAT1,MTOR,E2F2,DLL1,PTGS2,CASP7,NRAS,GSTM4,CHUK,JUN,PTEN,NCOA3,ABL1,STK4,CCND3,HDAC1,BAK1,AR,NOTCH4,COL4A1,BCL2L1,FOXO1,JAK2,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,IL6,CXCR4,MITF,FGFR1,FGF16,RAF1,TGFA,BBC3,ESR1,PRKCA,CDKN2A,PIK3R1,CCNE2,IKBKB,JAK3,TRAF6,TGFBR1,APAF1,EGLN2,MYC,CCNA2,KNG1,CTNNB1,KITLG,IGF1R,TPM3,NOTCH1,JAK1
hsa05206	MicroRNAs in cancer	79	159	1.08	6.37e-49	9606.ENSP00000212015,9606.ENSP00000216117,9606.ENSP00000225512,9606.ENSP00000226574,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000249501,9606.ENSP00000250405,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000257290,9606.ENSP00000260356,9606.ENSP00000260363,9606.ENSP00000261254,9606.ENSP00000262643,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264657,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000266085,9606.ENSP00000267101,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000280154,9606.ENSP00000284523,9606.ENSP00000286614,9606.ENSP00000290341,9606.ENSP00000293379,9606.ENSP00000302486,9606.ENSP00000303706,9606.ENSP00000304895,9606.ENSP00000307272,9606.ENSP00000307305,9606.ENSP00000311032,9606.ENSP00000317272,9606.ENSP00000320147,9606.ENSP00000330382,9606.ENSP00000339824,9606.ENSP00000345571,9606.ENSP00000346508,9606.ENSP00000346697,9606.ENSP00000348056,9606.ENSP00000351022,9606.ENSP00000354558,9606.ENSP00000355249,9606.ENSP00000356438,9606.ENSP00000358022,9606.ENSP00000358548,9606.ENSP00000361021,9606.ENSP00000361423,9606.ENSP00000362649,9606.ENSP00000363591,9606.ENSP00000363708,9606.ENSP00000364163,9606.ENSP00000365851,9606.ENSP00000367202,9606.ENSP00000370128,9606.ENSP00000373272,9606.ENSP00000376345,9606.ENSP00000376943,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000398632,9606.ENSP00000401888,9606.ENSP00000408695,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000437256,9606.ENSP00000437621,9606.ENSP00000446007,9606.ENSP00000452786,9606.ENSP00000478887,9606.ENSP00000487174,9606.ENSP00000498587	SIRT1,HMOX1,WNT3,NFKB1,CCND1,CDKN1B,HOXD10,BCL2L2,KRAS,NOTCH2,PDGFRA,THBS1,KIF23,CCND2,CCNE1,E2F3,MAPK3,STAT3,TP63,CDK6,TIMP3,ERBB3,TP53,ERBB2,EGFR,PDCD4,WNT3A,MMP16,IGF2BP1,ITGA5,MAP2K1,CDC25A,IRS1,RPTOR,DDIT4,CASP3,MET,EZH2,PDGFB,FGFR3,E2F1,PDGFA,BMF,UBE2I,TPM1,MTOR,E2F2,PTGS2,MCL1,NRAS,PTEN,ABL1,HDAC1,BAK1,BMPR2,NOTCH4,BMI1,RECK,SLC7A1,TRIM71,GRB2,BCL2L11,BCL2,CDKN1A,CD44,RAF1,PRKCA,CDKN2A,BRCA1,PIK3R1,CCNE2,IKBKB,DICER1,HMGA2,VIM,ITGB3,MYC,ZEB2,NOTCH1
hsa04151	PI3K-Akt signaling pathway	81	349	0.75	2.27e-30	9606.ENSP00000225964,9606.ENSP00000226574,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000241453,9606.ENSP00000256078,9606.ENSP00000257290,9606.ENSP00000258341,9606.ENSP00000260010,9606.ENSP00000260356,9606.ENSP00000261254,9606.ENSP00000262133,9606.ENSP00000262643,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000265734,9606.ENSP00000267101,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000288135,9606.ENSP00000293379,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000299767,9606.ENSP00000302486,9606.ENSP00000304895,9606.ENSP00000307272,9606.ENSP00000307305,9606.ENSP00000317272,9606.ENSP00000317904,9606.ENSP00000324804,9606.ENSP00000325074,9606.ENSP00000330382,9606.ENSP00000331902,9606.ENSP00000335153,9606.ENSP00000336790,9606.ENSP00000339527,9606.ENSP00000339824,9606.ENSP00000346508,9606.ENSP00000346839,9606.ENSP00000353654,9606.ENSP00000354558,9606.ENSP00000357804,9606.ENSP00000358022,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000360290,9606.ENSP00000361021,9606.ENSP00000362082,9606.ENSP00000363089,9606.ENSP00000364979,9606.ENSP00000365230,9606.ENSP00000369581,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000376943,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000387699,9606.ENSP00000393312,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000408695,9606.ENSP00000412324,9606.ENSP00000414303,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000432511,9606.ENSP00000451506,9606.ENSP00000452786,9606.ENSP00000478887,9606.ENSP00000495951,9606.ENSP00000497069,9606.ENSP00000499900	COL1A1,NFKB1,CCND1,CDKN1B,FLT3,KRAS,PDGFRA,LAMC1,TLR2,THBS1,CCND2,RBL2,CCNE1,MAPK3,FGF2,CDK6,ERBB3,FGF7,TP53,ERBB2,EGFR,KIT,ITGA5,ITGA2,COL1A2,HSP90B1,MAP2K1,IRS1,RPTOR,DDIT4,MET,GYS1,PPP2R1A,PPP2R2A,PDGFB,COL4A5,HSP90AA1,ATF4,FOXO3,FGFR3,PDGFA,FN1,COL4A2,MTOR,THEM4,MCL1,NRAS,CHUK,PRKAA2,PTEN,CCND3,TLR4,COL4A1,BCL2L1,IFNB1,JAK2,GRB2,IGF1,BCL2L11,BCL2,CDKN1A,IL6,CREB1,FGFR1,FGF16,RAF1,TGFA,PRKCA,PPP2R5C,BDNF,BRCA1,PIK3R1,CCNE2,IKBKB,JAK3,TCL1A,ITGB3,MYC,KITLG,IGF1R,JAK1
hsa05161	Hepatitis B	53	158	0.91	6.59e-26	9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000242480,9606.ENSP00000256078,9606.ENSP00000260010,9606.ENSP00000262643,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264657,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000296795,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000306245,9606.ENSP00000306512,9606.ENSP00000311032,9606.ENSP00000329967,9606.ENSP00000332973,9606.ENSP00000336790,9606.ENSP00000341551,9606.ENSP00000345571,9606.ENSP00000351905,9606.ENSP00000354394,9606.ENSP00000355249,9606.ENSP00000358548,9606.ENSP00000358997,9606.ENSP00000359424,9606.ENSP00000360266,9606.ENSP00000363089,9606.ENSP00000369581,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381070,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000387699,9606.ENSP00000398698,9606.ENSP00000401888,9606.ENSP00000408695,9606.ENSP00000410402,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000432511,9606.ENSP00000433623,9606.ENSP00000447297,9606.ENSP00000448165,9606.ENSP00000478887,9606.ENSP00000481380,9606.ENSP00000498321,9606.ENSP00000499900	TGFB1,NFKB1,EGR2,KRAS,TLR2,CCNE1,E2F3,MAPK3,STAT3,RB1,TP53,TLR3,FADD,MAP2K1,FOS,CXCL8,CASP3,TBK1,SMAD3,ATF4,SMAD4,E2F1,TGFBR2,STAT1,E2F2,NRAS,IRAK1,CHUK,JUN,TLR4,IFNB1,JAK2,GRB2,MAP2K7,BCL2,CDKN1A,IL6,CREB1,TNF,RAF1,PRKCA,MAP2K4,PIK3R1,CCNE2,IKBKB,JAK3,TRAF6,TGFBR1,APAF1,MYC,CCNA2,MYD88,JAK1
hsa05215	Prostate cancer	42	97	1.02	5.38e-24	9606.ENSP00000226574,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000256078,9606.ENSP00000257290,9606.ENSP00000262643,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000265165,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000299767,9606.ENSP00000299855,9606.ENSP00000302486,9606.ENSP00000330382,9606.ENSP00000335153,9606.ENSP00000336790,9606.ENSP00000340347,9606.ENSP00000345571,9606.ENSP00000346508,9606.ENSP00000354558,9606.ENSP00000355249,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000361021,9606.ENSP00000363822,9606.ENSP00000368880,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000387699,9606.ENSP00000393312,9606.ENSP00000401888,9606.ENSP00000404131,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000495360,9606.ENSP00000497069	NFKB1,CCND1,CDKN1B,KRAS,PDGFRA,CCNE1,E2F3,MAPK3,LEF1,RB1,TP53,ERBB2,EGFR,HSP90B1,MMP3,MAP2K1,PDGFB,HSP90AA1,ATF4,TCF7,E2F1,PDGFA,MTOR,E2F2,NRAS,CHUK,PTEN,AR,FOXO1,GRB2,IGF1,BCL2,CDKN1A,CREB1,FGFR1,RAF1,TGFA,PIK3R1,CCNE2,IKBKB,CTNNB1,IGF1R
hsa05224	Breast cancer	49	146	0.91	5.38e-24	9606.ENSP00000225512,9606.ENSP00000227507,9606.ENSP00000254958,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000261349,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264634,9606.ENSP00000265165,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000288135,9606.ENSP00000293549,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000306245,9606.ENSP00000340347,9606.ENSP00000345571,9606.ENSP00000354558,9606.ENSP00000355249,9606.ENSP00000355718,9606.ENSP00000358548,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000361066,9606.ENSP00000363591,9606.ENSP00000364163,9606.ENSP00000376345,9606.ENSP00000376637,9606.ENSP00000384849,9606.ENSP00000393312,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000478887,9606.ENSP00000495360,9606.ENSP00000497069,9606.ENSP00000498587	WNT3,CCND1,JAG1,KRAS,NOTCH2,LRP6,E2F3,MAPK3,FGF2,WNT5A,LEF1,CDK6,RB1,FGF7,TP53,ERBB2,EGFR,WNT3A,WNT7A,FZD7,KIT,WNT1,MAP2K1,AXIN2,FOS,TCF7,E2F1,MTOR,E2F2,DLL1,NRAS,JUN,PTEN,NCOA3,BAK1,NOTCH4,GRB2,IGF1,CDKN1A,FGFR1,FGF16,RAF1,ESR1,BRCA1,PIK3R1,MYC,CTNNB1,IGF1R,NOTCH1
hsa05165	Human papillomavirus infection	67	324	0.7	8.60e-23	9606.ENSP00000225512,9606.ENSP00000225964,9606.ENSP00000226574,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000254958,9606.ENSP00000256078,9606.ENSP00000256646,9606.ENSP00000258341,9606.ENSP00000260356,9606.ENSP00000261254,9606.ENSP00000262133,9606.ENSP00000262643,9606.ENSP00000263025,9606.ENSP00000264634,9606.ENSP00000264649,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000293379,9606.ENSP00000293549,9606.ENSP00000296585,9606.ENSP00000296795,9606.ENSP00000297268,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000311032,9606.ENSP00000324804,9606.ENSP00000325074,9606.ENSP00000329967,9606.ENSP00000331902,9606.ENSP00000340347,9606.ENSP00000345571,9606.ENSP00000346839,9606.ENSP00000353654,9606.ENSP00000354394,9606.ENSP00000354558,9606.ENSP00000356438,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000361021,9606.ENSP00000362082,9606.ENSP00000362649,9606.ENSP00000363591,9606.ENSP00000364163,9606.ENSP00000364979,9606.ENSP00000368880,9606.ENSP00000369581,9606.ENSP00000376345,9606.ENSP00000384849,9606.ENSP00000387699,9606.ENSP00000398698,9606.ENSP00000401888,9606.ENSP00000412324,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000452786,9606.ENSP00000481380,9606.ENSP00000495360,9606.ENSP00000498587,9606.ENSP00000499900	WNT3,COL1A1,NFKB1,CCND1,CDKN1B,JAG1,KRAS,NOTCH2,LAMC1,THBS1,CCND2,RBL2,CCNE1,MAPK3,WNT5A,ATP6V0A1,CDK6,RB1,TP53,EGFR,WNT3A,WNT7A,FZD7,ITGA5,WNT1,ITGA2,TLR3,COL1A2,FADD,MAP2K1,AXIN2,CASP3,PPP2R1A,PPP2R2A,TBK1,COL4A5,TCF7,E2F1,FN1,COL4A2,STAT1,MTOR,PTGS2,NRAS,CHUK,PTEN,CCND3,HDAC1,BAK1,NOTCH4,COL4A1,FOXO1,IFNB1,GRB2,CDKN1A,CREB1,TNF,RAF1,PPP2R5C,PIK3R1,CCNE2,IKBKB,ITGB3,CCNA2,CTNNB1,NOTCH1,JAK1
hsa05167	Kaposi sarcoma-associated herpesvirus infection	50	187	0.81	5.11e-21	9606.ENSP00000226574,9606.ENSP00000227507,9606.ENSP00000234310,9606.ENSP00000256078,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000264832,9606.ENSP00000265165,9606.ENSP00000265734,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000292303,9606.ENSP00000296795,9606.ENSP00000301838,9606.ENSP00000302486,9606.ENSP00000306245,9606.ENSP00000306512,9606.ENSP00000311032,9606.ENSP00000329967,9606.ENSP00000330382,9606.ENSP00000340347,9606.ENSP00000345571,9606.ENSP00000354394,9606.ENSP00000354558,9606.ENSP00000355231,9606.ENSP00000355249,9606.ENSP00000356438,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000360266,9606.ENSP00000363591,9606.ENSP00000369581,9606.ENSP00000371067,9606.ENSP00000378323,9606.ENSP00000381070,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000387699,9606.ENSP00000401888,9606.ENSP00000410402,9606.ENSP00000413079,9606.ENSP00000428056,9606.ENSP00000430684,9606.ENSP00000441600,9606.ENSP00000471239,9606.ENSP00000478887,9606.ENSP00000495360,9606.ENSP00000499900	NFKB1,CCND1,PPP3R1,KRAS,E2F3,MAPK3,FGF2,STAT3,ICAM1,LEF1,CDK6,RB1,TP53,CCR5,TLR3,FADD,MAP2K1,FOS,CXCL8,CASP3,TBK1,PDGFB,TCF7,E2F1,STAT1,MTOR,BECN1,E2F2,PTGS2,NRAS,CHUK,JUN,BAK1,IFNB1,JAK2,PPP3CA,MAP2K7,CDKN1A,IL6,CREB1,RAF1,MAP2K4,MICA,PIK3R1,IKBKB,CCR3,ZFP36,MYC,CTNNB1,JAK1
hsa05226	Gastric cancer	45	146	0.87	5.39e-21	9606.ENSP00000221930,9606.ENSP00000225512,9606.ENSP00000227507,9606.ENSP00000228872,9606.ENSP00000256078,9606.ENSP00000261349,9606.ENSP00000261769,9606.ENSP00000262643,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264498,9606.ENSP00000264634,9606.ENSP00000265165,9606.ENSP00000267163,9606.ENSP00000267843,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000284523,9606.ENSP00000285018,9606.ENSP00000286201,9606.ENSP00000293549,9606.ENSP00000302486,9606.ENSP00000302625,9606.ENSP00000317272,9606.ENSP00000332973,9606.ENSP00000340347,9606.ENSP00000341551,9606.ENSP00000345571,9606.ENSP00000351905,9606.ENSP00000354558,9606.ENSP00000355249,9606.ENSP00000358548,9606.ENSP00000363591,9606.ENSP00000370408,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000384849,9606.ENSP00000399324,9606.ENSP00000401888,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000447297,9606.ENSP00000478887,9606.ENSP00000495360	TGFB1,WNT3,CCND1,CDKN1B,KRAS,LRP6,CDH1,CCNE1,E2F3,MAPK3,FGF2,WNT5A,LEF1,RB1,FGF7,TP53,ERBB2,EGFR,WNT3A,WNT7A,FZD7,WNT1,MAP2K1,AXIN2,MET,SMAD3,TCF7,SMAD4,E2F1,TGFBR2,MTOR,E2F2,NRAS,BAK1,CDX2,GRB2,BCL2,CDKN1A,FGF16,RAF1,PIK3R1,CCNE2,TGFBR1,MYC,CTNNB1
hsa05166	Human T-cell leukemia virus 1 infection	52	210	0.78	1.09e-20	9606.ENSP00000221930,9606.ENSP00000226574,9606.ENSP00000227163,9606.ENSP00000227507,9606.ENSP00000234310,9606.ENSP00000242480,9606.ENSP00000256078,9606.ENSP00000261254,9606.ENSP00000262643,9606.ENSP00000262904,9606.ENSP00000263025,9606.ENSP00000264832,9606.ENSP00000265354,9606.ENSP00000267163,9606.ENSP00000269305,9606.ENSP00000294016,9606.ENSP00000296509,9606.ENSP00000302486,9606.ENSP00000306245,9606.ENSP00000311405,9606.ENSP00000332973,9606.ENSP00000336790,9606.ENSP00000339109,9606.ENSP00000341551,9606.ENSP00000345571,9606.ENSP00000351905,9606.ENSP00000355249,9606.ENSP00000358548,9606.ENSP00000359424,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000362082,9606.ENSP00000365230,9606.ENSP00000378323,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000386380,9606.ENSP00000387699,9606.ENSP00000391090,9606.ENSP00000398698,9606.ENSP00000410402,9606.ENSP00000418915,9606.ENSP00000428056,9606.ENSP00000429089,9606.ENSP00000430684,9606.ENSP00000432511,9606.ENSP00000447297,9606.ENSP00000471239,9606.ENSP00000478887,9606.ENSP00000481380,9606.ENSP00000499900	TGFB1,NFKB1,SPI1,CCND1,PPP3R1,EGR2,KRAS,CCND2,CCNE1,E2F3,MAPK3,ICAM1,SRF,RB1,TP53,ADCY9,MAD2L1,MAP2K1,FOS,ADCY6,SMAD3,ATF4,ANAPC1,SMAD4,E2F1,TGFBR2,E2F2,NRAS,CHUK,JUN,PTEN,CD40,CCND3,BCL2L1,PPP3CA,CDKN1A,IL6,IL1R1,CREB1,CHEK1,TNF,MAP2K4,CDKN2A,PIK3R1,CCNE2,IKBKB,JAK3,TGFBR1,ZFP36,MYC,CCNA2,JAK1
