© 2000-2024 QIAGEN. All rights reserved.

Molecule Name	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
AARSD1	80755	69684	619440
ABHD16A	7920	193742	361796
ABL1	25	11350	311860
ACOT12	134526	74156	170570
ACP1	52	11431	302513
ACVR1	90	11477	79558
ADAMTS2	9509	216725	287899
ADAMTS14	140766	237360	309837
ADAMTS15	170689	235130	300474
ADCY6	112	11512	25289
ADGRG1	9289	14766	260326
ADPGK	83440	72141	315722
AGO4	192670	76850	
AGTR1	185	11607	24180
AHCYL1	10768	229709	362013
AICDA	57379	11628	399679
AKAP8	10270	56399	116633
ALOX5AP	241	11690	29624
AMIGO2	347902	105827	300186
ANAPC1	64682	17222	311412
ANKFY1	51479	11736	303292
ANPEP	290	16790	81641
AP2A1	160	11771	308578
APAF1	317	11783	78963
APC	324	11789	24205
APP	351	11820	54226
AQP4	361	11829	25293
AQP5	362	11830	25241
AR	367	11835	24208
ARFIP1	27236	99889	60382
ARFIP2	23647	76932	293344
ARHGAP32	9743	330914	315530
ARID2	196528	77044	366980
ARID1A	8289	93760	297867
ARID4B	51742	94246	84481
ARL10	285598	56795	306767
ARL5B	221079	75869	
ARPC1B	10095	11867	54227
ATAD3B	83858		
ATF4	468	11911	79255
ATG3	64422	67841	171415
ATP2A2	488	11938	29693
ATP2B1	490	67972	29598
ATP6V0A1	535	11975	29757
ATP6V1C1	528	66335	299971
ATP6V1F	9296	66144	116664
ATRX	546	22589	246284
AURKB	9212	20877	114592
AXIN2	8313	12006	29134
BACH1	571	12013	304127
BAG3	9531	29810	293524
BAMBI	25805	68010	83837
BBC3	27113	170770	317673
BCAR4	400500		
BCL2	596	12043	24224
BCL6	604	12053	303836
BCL2L1	598	12048	24888
BCL2L11	10018	12125	64547
BCL7A	605	77045	690085
BECN1	8678	56208	114558
BET1	10282	12068	29631
BLACAT1	101669762		
BMF	90427	171543	246142
BMP1	649	12153	83470
BMP2	650	12156	29373
BMP7	655	12162	85272
BMP2K	55589	140780	498333
BMPR2	659	12168	140590
BNIP2	663	12175	300811
BNIP3L	665	12177|100043324	140923
BRPF3	27154	268936	309647
BSG	682	12215	25246
BUB1	699	12235	296137
CALCOCO2	10241		303479
CALU	813	12321	64366
CAMTA1	23261	100072	362665
CAPG	822	12332	297339
CAPN8	388743	170725	170808
CARHSP1	23589	52502	260416
CASP3	836	12367	25402
CASP9	842	12371	58918
CBFB	865	12400	361391
CCN1	3491	16007	83476
CCN2	1490	14219	64032
CCN5	8839	22403	29576
CCND1	595	12443	58919
CCND2	894	12444	64033
CCNE2	9134	12448	362485
CD44	960	12505	25406
CD47	961	16423	29364
CD69	969	12515	29187
CD274	29126	60533	499342
CDC25A	993	12530	171102
CDC25B	994	12531	171103
CDCP1	64866	109332	301082
CDH11	1009	12552	84407
CDIPT	10423	52858	192260
CDK6	1021	12571	114483
CDK5RAP3	80279	80280	80278
CDKAL1	54901	68916	
CDKN1A	1026	12575	114851
CDKN1B	1027	12576	83571
CDKN1C	1028		
CDKN2AIP	55602	70925	306455
CDX2	1045	12591	66019
CEBPB	1051	12608	24253
CELSR2	1952	53883	83465
CEMIP2	23670	83921	309400
CEP72	55722	74470	308064
CFLAR	8837	12633	117279
CHAF1A	10036	27221	363333
CHD1	1105	12648	308215
CHD8	57680	67772	65027
CHMP2A	27243	68953	365191
CIAO2A	84191	68250	300797
CLDN1	9076	12737	65129
CNOT9	9125	58184	301513
COIL	8161	12812	50998
COL1A1	1277	12842	29393
COL1A2	1278	12843	84352
COL4A1	1282	12826	290905
COL4A2	1284	12827	306628
COL4A5	1287	12830	
COL5A1	1289	12831	85490
COL5A2	1290	12832	85250
COL8A1	1295	12837	304021
COMMD9	29099	76501	295956
COX4I2	84701	84682	84683
CPNE8	144402	66871	362988
CREB1	1385	12912	81646
CRIM1	51232	50766	298744
CRTAP	10491	56693	363158
CSDE1	7812	229663	117180|100364335
CSF1R	1436	12978	307403
CSNK1D	1453	104318	64462
CSNK1G1	53944	214897	64086
CTLA4	1493	12477	63835
CTNNB1	1499	12387	84353
CTSC	1075	13032	25423
CUL4B	8450	72584	302502
CUX1	1523		116639
CXCL8	3576		
CYLD-AS1	102724907		
CYP51A1	1595	13121	25427
DAD1	1603	13135	192275
DCAF7	10238	71833	303602
DDIT4	54541	74747	140942
DHFR	1719	13361	24312
DHX40	79665	67487	287595
DHX57	90957	106794	366532
DICER1	23405	192119	299284
DIRAS3	9077		
DLEU2	8847		
DLL1	28514	13388	84010
DNAJB1	3337	81489	361384
DNAJC19	131118	67713|100503724	
DOCK5	80005	68813	305987
DOCK7	85440	67299	313388
DPP7	29952	83768	83799
DRD3	1814	13490	29238
DSG2	1829	13511	307562
DSP	1832	109620	306871
Dst		13518	316313
DTL	51514	76843	305073
DTYMK	1841	21915	301622
DUSP12	11266	80915	64014
DUSP16	80824	70686	297682
DUSP23	54935	68440	360881
DYRK1A	1859	13548	25255
E2F1	1869	13555	399489
E2F2	1870	242705	684111
E2F3	1871	13557	291105
E2F5	1875	13559	116651
EFEMP2	30008	58859	293677
