© 2000-2024 QIAGEN. All rights reserved.

ID	Symbol	Source	miRNA Confidence	Symbol	Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	AARSD1	Heparan Sulfate Biosynthesis,Heparan Sulfate Biosynthesis (Late Stages),Triacylglycerol Degradation	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	miRecords	Experimentally Observed	ACP1	3-phosphoinositide Biosynthesis,3-phosphoinositide Degradation,D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis,D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis,D-myo-inositol-5-phosphate Metabolism,Ephrin A Signaling,Ephrin B Signaling,Ephrin Receptor Signaling,NAD Phosphorylation and Dephosphorylation,NAD Salvage Pathway II,PDGF Signaling,Protein Kinase A Signaling,Superpathway of Inositol Phosphate Compounds	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	ADAMTS14	Axonal Guidance Signaling,Collagen biosynthesis and modifying enzymes,O-linked glycosylation	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,High (predicted)	ADAMTS15	Axonal Guidance Signaling,O-linked glycosylation	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings	Experimentally Observed	ADAMTS2	Axonal Guidance Signaling,Collagen biosynthesis and modifying enzymes,O-linked glycosylation	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	ADGRG1	BBSome Signaling Pathway,Breast Cancer Regulation by Stathmin1,Cellular Effects of Sildenafil (Viagra),CREB Signaling in Neurons,FAK Signaling,G-Protein Coupled Receptor Signaling,Molecular Mechanisms of Cancer,Phagosome Formation,S100 Family Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TargetScan Human,miRecords	Experimentally Observed,High (predicted),Moderate (predicted)	AGO4	Beta-catenin independent WNT signaling,Cachexia Signaling Pathway,CSDE1 Signaling Pathway,EIF2 Signaling,ESR-mediated signaling,Gene Silencing by RNA,HOTAIR Regulatory Pathway,Inhibition of ARE-Mediated mRNA Degradation Pathway,Insulin Secretion Signaling Pathway,MAPK6/MAPK4 signaling,MicroRNA Biogenesis Signaling Pathway,NR1H2 and NR1H3-mediated signaling,Oncogene Induced Senescence,Oxidative Stress Induced Senescence,Pre-NOTCH Expression and Processing,PTEN Regulation,Regulation of eIF4 and p70S6K Signaling,Regulation of RUNX1 Expression and Activity,RUNX1 regulates megakaryocyte differentiation and platelet function,TP53 Regulates Metabolic Genes,Transcriptional Regulation by MECP2,Transcriptional Regulation by NPAS4,Transcriptional Regulation by VENTX	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TarBase	Experimentally Observed,Moderate (predicted)	AKAP8	cAMP-mediated signaling,Cardiac β-adrenergic Signaling,Protein Kinase A Signaling	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	ANAPC1	Cell Cycle Checkpoints,Class I MHC mediated antigen processing and presentation,Cohesin Chromatin Regulation Pathway,DNA Replication Pre-Initiation,Kinetochore Metaphase Signaling Pathway,Mitotic Metaphase and Anaphase,Mitotic Roles of Polo-Like Kinase,Protein Kinase A Signaling,Protein Ubiquitination Pathway,Regulation of mitotic cell cycle,Senescence Pathway,Senescence-Associated Secretory Phenotype (SASP),Synthesis of DNA,Transcriptional Regulation by VENTX,WNK Renal Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	ATAD3B	Neutrophil degranulation	
